Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3240777794084713
75% Corpus,2,0.01,0.31,0.3240777794084713
75% Corpus,2,0.01,0.61,0.3240777794084713
75% Corpus,2,0.01,0.9099999999999999,0.3240777794084713
75% Corpus,2,0.01,symmetric,0.3240777794084713
75% Corpus,2,0.31,0.01,0.300327172855222
75% Corpus,2,0.31,0.31,0.300327172855222
75% Corpus,2,0.31,0.61,0.3040666632685982
75% Corpus,2,0.31,0.9099999999999999,0.3003271728552219
75% Corpus,2,0.31,symmetric,0.3003271728552219
75% Corpus,2,0.61,0.01,0.3020241396480515
75% Corpus,2,0.61,0.31,0.30303704893033945
75% Corpus,2,0.61,0.61,0.3020241396480515
75% Corpus,2,0.61,0.9099999999999999,0.3020241396480515
75% Corpus,2,0.61,symmetric,0.3020241396480515
75% Corpus,2,0.9099999999999999,0.01,0.29221405804680034
75% Corpus,2,0.9099999999999999,0.31,0.3257208343456781
75% Corpus,2,0.9099999999999999,0.61,0.29221405804680034
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.29221405804680034
75% Corpus,2,0.9099999999999999,symmetric,0.29221405804680034
75% Corpus,2,symmetric,0.01,0.2922140580468004
75% Corpus,2,symmetric,0.31,0.2922140580468004
75% Corpus,2,symmetric,0.61,0.30202413964805147
75% Corpus,2,symmetric,0.9099999999999999,0.3286608388236796
75% Corpus,2,symmetric,symmetric,0.30202413964805147
75% Corpus,2,asymmetric,0.01,0.27893206013810046
75% Corpus,2,asymmetric,0.31,0.22233193280162528
75% Corpus,2,asymmetric,0.61,0.2061300815518456
75% Corpus,2,asymmetric,0.9099999999999999,0.20032271099579907
75% Corpus,2,asymmetric,symmetric,0.2103720310143956
75% Corpus,3,0.01,0.01,0.2875703666100016
75% Corpus,3,0.01,0.31,0.26712374271929523
75% Corpus,3,0.01,0.61,0.25340895215658243
75% Corpus,3,0.01,0.9099999999999999,0.2579905711210449
75% Corpus,3,0.01,symmetric,0.25799057112104495
75% Corpus,3,0.31,0.01,0.28789505764827444
75% Corpus,3,0.31,0.31,0.28789505764827444
75% Corpus,3,0.31,0.61,0.28789505764827444
75% Corpus,3,0.31,0.9099999999999999,0.2890243756163145
